세그먼트,그룹,고객수,비율(%),culture_score,play_intensity,recent_activity,vote_influence,weighted_vote_score,is_viral,sentiment_score,emotion_intensity_norm,focus_gameplay,focus_content,focus_technical,focus_social,steam_purchase,recommended,주요게임
0,정상,20615,69.1,0.137,0.416,0.003,0.249,0.501,0.264,0.244,0.801,0.169,0.184,0.000,0.157,0.596,0.780,스텔라블레이드
1,정상,1467,4.9,0.125,0.494,0.180,0.168,0.501,0.253,0.359,0.761,0.155,0.176,0.000,0.184,0.571,0.873,REPO
2,정상,2047,6.9,0.145,0.598,0.458,0.225,0.502,0.206,0.225,0.800,0.124,0.243,0.000,0.214,0.379,0.771,림버스컴퍼니
3,정상,1076,3.6,0.147,0.628,0.615,0.227,0.502,0.214,0.211,0.764,0.123,0.212,0.000,0.214,0.412,0.786,림버스컴퍼니
4,정상,1291,4.3,0.128,0.561,0.312,0.209,0.502,0.233,0.301,0.769,0.130,0.215,0.000,0.193,0.408,0.833,림버스컴퍼니
5,이상,2413,8.1,0.341,0.394,0.018,1.147,0.535,0.271,-0.116,0.828,0.114,0.128,0.575,0.085,0.605,0.604,문명7
6,이상,314,1.1,0.450,0.595,0.487,1.065,0.539,0.296,0.067,0.818,0.099,0.204,0.487,0.131,0.481,0.688,림버스컴퍼니
7,이상,612,2.1,0.164,0.727,0.779,0.301,0.506,0.224,0.265,0.769,0.119,0.203,0.052,0.145,0.276,0.804,OnceHuman
